"state","N"
NA,NA
"Out",90.3627135486779
"Winter-DSP-2",16.2685714285714
"Fall-Enviro-2",0
"Fall-ESP-2",0
"Fall-Health-2",0
"Graduated",95.7671978021349
"Winter-ESP-2",30.15
"Winter-Enviro-2",26.0857142857143
"Winter-Health-2",265.525714285714
"Winter-Pure-2",255.97
"Winter-Enviro-3",0.5469
"Winter-Enviro-4",23.0838282857143
"Winter-Health-4",230.314312285714
"Winter-Pure-4",223.479725428571
"Winter-Enviro-5",0.5469
"Winter-Enviro-6",2.16170676
"Fall-Health-3",0.2569
"Winter-Health-3",23.3909
"Winter-Pure-3",31.7335
"Fall-Health-4",0
"Winter-Health-5",7.79384788
"Winter-Pure-5",9.14578442
"Winter-Health-6",12.79412127
"Winter-Health-7",0.213553424448
"Winter-Health-8",1.313987700564
"Winter-Health-9",0.43161082338528
"Fall-Pure-2",0
"Fall-Pure-3",0.3886
"Fall-Pure-6",0.436343548
"Winter-Pure-6",17.017398372
"Winter-Pure-7",0.48850791732
"Winter-Pure-8",1.3476883261725
"Winter-Health-1",29
"Winter-Pure-1",44.3333333333333
